ticker,operator_group,operator_rationale,themes,categories,price,avg_volume,dollar_volume,dv_pct_of_threshold,dv_gap,dv_gap_pct_of_threshold,volume_profile,perf_1d,perf_1w,perf_1m,perf_3m,current_ranking_eligibility_reason,review_rationale
JKS,genuine near-threshold names worth monitoring,"close enough to threshold to monitor without obvious structural red flag; dollar volume 14,219,617 (94.8% of threshold); gap to threshold 780,383; price 20.47; avg volume 694,656",Solar - Manufacturers,Energy - Clean,20.47,694656.4273593334,14219617.068045553,94.79744712030369,780382.9319544472,5.202552879696314,mid_profile,-4.7,-15.17,-12.52,-20.75,"dollar volume invalid: 14,219,617 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 14,219,617; price 20.47"
HLX,genuine near-threshold names worth monitoring,"close enough to threshold to monitor without obvious structural red flag; recent tape is constructive; dollar volume 13,940,918 (92.9% of threshold); gap to threshold 1,059,082; price 9.38; avg volume 1,486,239",Oil - Offshore Services,Energy - Oil & Gas,9.38,1486238.594322619,13940918.014746169,92.93945343164113,1059081.9852538314,7.060546568358876,mid_profile,2.74,-0.21,-2.19,33.05,"dollar volume invalid: 13,940,918 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 13,940,918; price 9.38"
CARS,genuine near-threshold names worth monitoring,"close enough to threshold to monitor without obvious structural red flag; recent tape is constructive; dollar volume 13,242,092 (88.3% of threshold); gap to threshold 1,757,908; price 10.97; avg volume 1,207,119","Internet - Classifieds, Internet - Marketplace",Technology - Internet,10.97,1207118.7319800477,13242092.489821125,88.2806165988075,1757907.5101788752,11.719383401192502,mid_profile,-0.63,8.51,38.86,-6.24,"dollar volume invalid: 13,242,092 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 13,242,092; price 10.97"
WPP,genuine near-threshold names worth monitoring,"close enough to threshold to monitor without obvious structural red flag; recent tape is constructive; dollar volume 13,151,311 (87.7% of threshold); gap to threshold 1,848,689; price 18.04; avg volume 729,008",Advertising - Traditional,Media & Entertainment,18.04,729008.3429238095,13151310.506345524,87.67540337563683,1848689.4936544765,12.324596624363176,mid_profile,-0.17,3.8,19.39,-12.55,"dollar volume invalid: 13,151,311 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 13,151,311; price 18.04"
BJRI,genuine near-threshold names worth monitoring,"close enough to threshold to monitor without obvious structural red flag; dollar volume 12,997,201 (86.6% of threshold); gap to threshold 2,002,799; price 37.92; avg volume 342,753",Restaurants - Casual Dining,Consumer - Restaurants,37.92,342753.19493157143,12997201.151805189,86.64800767870126,2002798.8481948115,13.351992321298745,high_price_low_turnover,-3.31,-1.25,8.16,-14.38,"dollar volume invalid: 12,997,201 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 12,997,201; price 37.92"
PKX,genuine near-threshold names worth monitoring,"close enough to threshold to monitor without obvious structural red flag; recent tape is constructive; dollar volume 12,814,567 (85.4% of threshold); gap to threshold 2,185,433; price 69.12; avg volume 185,396",Steel,Metals & Mining,69.12,185395.9372830476,12814567.185004251,85.43044790002834,2185432.814995749,14.569552099971657,high_price_low_turnover,3.1,10.57,24.14,15.07,"dollar volume invalid: 12,814,567 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 12,814,567; price 69.12"
CABO,genuine near-threshold names worth monitoring,"close enough to threshold to monitor without obvious structural red flag; recent tape is constructive; dollar volume 12,770,490 (85.1% of threshold); gap to threshold 2,229,510; price 117; avg volume 109,187",Telecom - Cable,Telecom,116.96,109186.81350290476,12770489.70729974,85.13659804866492,2229510.292700261,14.863401951335073,high_price_low_turnover,0.78,25.61,23.85,39.94,"dollar volume invalid: 12,770,490 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 12,770,490; price 117"
GLNCY,genuine near-threshold names worth monitoring,"close enough to threshold to monitor without obvious structural red flag; recent tape is constructive; dollar volume 12,123,817 (80.8% of threshold); gap to threshold 2,876,183; price 14.65; avg volume 827,564",Diversified Mining,Metals & Mining,14.65,827564.2857142857,12123816.785714284,80.82544523809523,2876183.2142857164,19.174554761904776,mid_profile,-1.68,-4.25,6.7,12.95,"dollar volume invalid: 12,123,817 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 12,123,817; price 14.65"
BMBL,numerically borderline but still weak/undesirable,"borderline driven by lower-price / more speculative profile; dollar volume 13,821,648 (92.1% of threshold); gap to threshold 1,178,352; price 4.47; avg volume 3,092,091",Internet - Social,Technology - Internet,4.47,3092091.309437,13821648.15318339,92.1443210212226,1178351.8468166105,7.855678978777404,low_price_high_turnover,0.9,18.57,25.21,26.99,"dollar volume invalid: 13,821,648 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 13,821,648; price 4.47"
FUSE,numerically borderline but still weak/undesirable,"borderline driven by lower-price / more speculative profile; dollar volume 13,798,151 (92.0% of threshold); gap to threshold 1,201,849; price 1.97; avg volume 7,004,137",AI - Agentic,Artificial Intelligence,1.97,7004137.3532,13798150.585804,91.98767057202667,1201849.4141959995,8.01232942797333,low_price_high_turnover,11.93,9.44,38.73,20.12,"dollar volume invalid: 13,798,151 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 13,798,151; price 1.97"
ISSC,numerically borderline but still weak/undesirable,"recent performance tape is weak; dollar volume 13,693,281 (91.3% of threshold); gap to threshold 1,306,719; price 20.57; avg volume 665,692","Aerospace - Suppliers, Defense - Electronics","Space & Aerospace, Defense",20.57,665691.855305,13693281.46362385,91.28854309082567,1306718.5363761503,8.711456909174336,mid_profile,-2.74,-15.97,-28.23,-3.92,"dollar volume invalid: 13,693,281 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 13,693,281; price 20.57"
EVTL,numerically borderline but still weak/undesirable,"borderline driven by lower-price / more speculative profile; recent performance tape is weak; dollar volume 13,531,159 (90.2% of threshold); gap to threshold 1,468,841; price 2.66; avg volume 5,086,902",eVTOL,Emerging Tech,2.66,5086901.763033286,13531158.68966854,90.20772459779026,1468841.31033146,9.792275402209734,low_price_high_turnover,-6.99,1.14,-25.91,-53.66,"dollar volume invalid: 13,531,159 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 13,531,159; price 2.66"
