ticker,theme_id,theme,category,theme_is_active,governed_membership_count,active_governed_membership_count,active_governed_membership,current_ranking_eligible,current_ranking_eligibility_reason,primary_ineligibility_bucket,coverage_status,visible_suppressed,manual_suppressed,manual_suppression_reason,manual_suppressed_at,symbol_status,suggested_status,suggested_reason,suppression_reason,last_failure_category,consecutive_failure_count,rolling_failure_count,last_failure_at,last_success_at,last_run_id,run_id,snapshot_time,snapshot_source,preferred_snapshot_source,snapshot_present,has_current_usable_snapshot,price,avg_volume,dollar_volume,perf_1d,perf_1w,perf_1m,perf_3m,perf_1w_atr_units,perf_1m_atr_units,price_valid,avg_volume_valid,dollar_volume_valid,not_refresh_suppressed,perf_1d_eligible,perf_1w_eligible,perf_1m_eligible,perf_3m_eligible,standardized_metric_eligible,composite_metric_eligible,atr_metric_eligible,history_trading_days,has_30d_history,history_latest_trading_date,history_earliest_trading_date,trading_date,preferred_history_source,current_ranking_min_price_threshold,current_ranking_min_dollar_volume_threshold,current_ranking_min_eligible_constituents_threshold
A,819,Biotech - Tools,Healthcare - Biotech,True,2,2,True,True,eligible for current ranking base checks,eligible,healthy current coverage,False,False,,,active,,,,,0,1,2026-04-15 17:15:47.696139,2026-04-21 14:22:37.576581,256,256.0,2026-04-21 14:27:50.061165,live,live,True,True,122.09,1799246.1438671905,219669961.7047453,0.93,1.41,9.69,-10.12,,,True,True,True,True,True,True,True,True,True,True,False,130,True,2026-04-21,2025-10-14,,live,1.0,15000000.0,3
A,832,Medical Equipment,Healthcare - Devices & Services,True,2,2,True,True,eligible for current ranking base checks,eligible,healthy current coverage,False,False,,,active,,,,,0,1,2026-04-15 17:15:47.696139,2026-04-21 14:22:37.576581,256,256.0,2026-04-21 14:27:50.061165,live,live,True,True,122.09,1799246.1438671905,219669961.7047453,0.93,1.41,9.69,-10.12,,,True,True,True,True,True,True,True,True,True,True,False,130,True,2026-04-21,2025-10-14,,live,1.0,15000000.0,3
AA,762,Aluminum,Metals & Mining,True,1,1,True,True,eligible for current ranking base checks,eligible,healthy current coverage,False,False,,,active,,,,,0,2,2026-04-15 17:15:47.711221,2026-04-21 14:22:37.796473,256,256.0,2026-04-21 14:27:50.061165,live,live,True,True,67.15,5859470.823694095,393463465.8110585,0.93,-6.53,18.95,8.1,,,True,True,True,True,True,True,True,True,True,True,False,130,True,2026-04-21,2025-10-14,,live,1.0,15000000.0,3
AAL,897,Airlines - International,Industrials - Transport,True,2,2,True,True,eligible for current ranking base checks,eligible,healthy current coverage,False,False,,,active,,,,,0,1,2026-04-15 17:15:47.721880,2026-04-21 14:22:38.009071,256,256.0,2026-04-21 14:27:50.061165,live,live,True,True,11.77,58254551.03530396,685656065.6855276,-3.84,-2.97,12.85,-20.42,,,True,True,True,True,True,True,True,True,True,True,False,130,True,2026-04-21,2025-10-14,,live,1.0,15000000.0,3
AAL,895,Airlines - Legacy,Industrials - Transport,True,2,2,True,True,eligible for current ranking base checks,eligible,healthy current coverage,False,False,,,active,,,,,0,1,2026-04-15 17:15:47.721880,2026-04-21 14:22:38.009071,256,256.0,2026-04-21 14:27:50.061165,live,live,True,True,11.77,58254551.03530396,685656065.6855276,-3.84,-2.97,12.85,-20.42,,,True,True,True,True,True,True,True,True,True,True,False,130,True,2026-04-21,2025-10-14,,live,1.0,15000000.0,3
AAOI,669,AI - Infrastructure,Artificial Intelligence,True,2,2,True,True,eligible for current ranking base checks,eligible,healthy current coverage,False,False,,,active,,,,,0,1,2026-04-15 17:15:47.732696,2026-04-21 14:22:38.230711,256,256.0,2026-04-21 14:27:50.061165,live,live,True,True,150.57,12693647.022270715,1911282432.1433015,-7.89,2.86,72.0,283.52,,,True,True,True,True,True,True,True,True,True,True,False,101,True,2026-04-21,2025-11-24,,live,1.0,15000000.0,3
AAOI,997,Data Center - Optics,Communication,True,2,2,True,True,eligible for current ranking base checks,eligible,healthy current coverage,False,False,,,active,,,,,0,1,2026-04-15 17:15:47.732696,2026-04-21 14:22:38.230711,256,256.0,2026-04-21 14:27:50.061165,live,live,True,True,150.57,12693647.022270715,1911282432.1433015,-7.89,2.86,72.0,283.52,,,True,True,True,True,True,True,True,True,True,True,False,101,True,2026-04-21,2025-11-24,,live,1.0,15000000.0,3
AAP,855,Retail - Auto Parts,Consumer - Retail,True,1,1,True,True,eligible for current ranking base checks,eligible,healthy current coverage,False,False,,,active,,,,,0,1,2026-04-15 17:15:47.743729,2026-04-21 14:22:38.441700,256,256.0,2026-04-21 14:27:50.061165,live,live,True,True,58.73,1319268.774272476,77480655.11302252,2.55,4.86,24.85,42.17,,,True,True,True,True,True,True,True,True,True,True,False,130,True,2026-04-21,2025-10-14,,live,1.0,15000000.0,3
AAPL,668,AI - Mega Cap,Artificial Intelligence,True,6,6,True,True,eligible for current ranking base checks,eligible,healthy current coverage,False,False,,,active,,,,,0,1,2026-04-15 17:15:47.754580,2026-04-21 14:22:38.665248,256,256.0,2026-04-21 14:27:50.061165,live,live,True,True,266.17,42004785.22231448,11180413682.623446,-2.52,2.84,7.33,7.89,,,True,True,True,True,True,True,True,True,True,True,False,130,True,2026-04-21,2025-10-14,,live,1.0,15000000.0,3
AAPL,937,AR/VR & Metaverse,Emerging Tech,True,6,6,True,True,eligible for current ranking base checks,eligible,healthy current coverage,False,False,,,active,,,,,0,1,2026-04-15 17:15:47.754580,2026-04-21 14:22:38.665248,256,256.0,2026-04-21 14:27:50.061165,live,live,True,True,266.17,42004785.22231448,11180413682.623446,-2.52,2.84,7.33,7.89,,,True,True,True,True,True,True,True,True,True,True,False,130,True,2026-04-21,2025-10-14,,live,1.0,15000000.0,3
