ticker,review_bucket,review_rationale,active_governed_membership_count,governed_membership_count,themes,categories,current_ranking_eligibility_reason,primary_ineligibility_bucket,coverage_status,symbol_status,manual_suppressed,manual_suppression_reason,snapshot_present,has_current_usable_snapshot,snapshot_time,snapshot_source,price,avg_volume,dollar_volume,price_valid,avg_volume_valid,dollar_volume_valid,perf_1d,perf_1w,perf_1m,perf_3m,last_failure_category,consecutive_failure_count,rolling_failure_count,last_failure_at,last_success_at,special_format_ticker,governance_cleanup_flag,near_price_threshold_flag,borderline_dollar_volume_flag,threshold_review_flag
APPN,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 14,317,611; price 21.06",1,1,Software - Low Code,Technology - Software,"dollar volume invalid: 14,317,611 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,21.06,679848.5882053333,14317611.26760432,True,True,False,-3.13,1.74,-16.82,-25.66,,0,1,2026-04-15 17:15:48.729061,2026-04-21 14:22:57.772007,False,False,False,True,False
BJRI,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 12,997,201; price 37.92",1,1,Restaurants - Casual Dining,Consumer - Restaurants,"dollar volume invalid: 12,997,201 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,37.92,342753.19493157143,12997201.151805189,True,True,False,-3.31,-1.25,8.16,-14.38,,0,1,2026-04-15 17:15:49.533863,2026-04-21 14:23:15.367582,False,False,False,True,False
BLMN,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 14,353,251; price 6.49",1,1,Restaurants - Fast Casual,Consumer - Restaurants,"dollar volume invalid: 14,353,251 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,6.49,2211594.920496238,14353251.034020584,True,True,False,-2.7,1.25,11.51,-13.0,,0,1,2026-04-15 17:15:49.616197,2026-04-21 14:23:17.110847,False,False,False,True,False
BMBL,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 13,821,648; price 4.47",1,1,Internet - Social,Technology - Internet,"dollar volume invalid: 13,821,648 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,4.47,3092091.309437,13821648.15318339,True,True,False,0.9,18.57,25.21,26.99,,0,1,2026-04-15 17:15:49.647552,2026-04-21 14:23:17.715374,False,False,False,True,False
CABO,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 12,770,490; price 117",1,1,Telecom - Cable,Telecom,"dollar volume invalid: 12,770,490 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,116.96,109186.81350290476,12770489.70729974,True,True,False,0.78,25.61,23.85,39.94,,0,1,2026-04-15 17:15:49.963762,2026-04-21 14:23:24.927628,False,False,False,True,False
CARS,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 13,242,092; price 10.97",2,2,"Internet - Classifieds, Internet - Marketplace",Technology - Internet,"dollar volume invalid: 13,242,092 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,10.97,1207118.7319800477,13242092.489821125,True,True,False,-0.63,8.51,38.86,-6.24,,0,1,2026-04-15 17:15:50.047389,2026-04-21 14:23:26.552555,False,False,False,True,False
CCS,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 14,142,616; price 63.81",1,1,Homebuilders - Mid,Real Estate - Non REIT,"dollar volume invalid: 14,142,616 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,63.81,221636.3643309048,14142616.407955036,True,True,False,0.77,5.77,14.64,-3.7,,0,1,2026-04-15 17:15:50.213998,2026-04-21 14:23:29.391524,False,False,False,True,False
CLOV,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 12,849,850; price 2.39",2,3,"Diagnostics & Labs, High Short Interest, Meme Stocks","Healthcare - Devices & Services, Specialty Themes","dollar volume invalid: 12,849,850 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,2.39,5376506.4793008575,12849850.48552905,True,True,False,7.17,17.16,26.46,-7.72,,0,1,2026-04-15 17:15:50.565672,2026-04-21 14:23:36.939726,False,False,False,True,False
DRUG,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 14,815,134; price 87.42",1,1,Psychedelics,Specialty Themes,"dollar volume invalid: 14,815,134 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,87.42,169470.76414133335,14815134.20123536,True,True,False,-3.71,-1.93,22.06,5.33,,0,1,2026-04-15 17:15:51.934940,2026-04-21 14:24:05.857040,False,False,False,True,False
EVTL,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 13,531,159; price 2.66",1,1,eVTOL,Emerging Tech,"dollar volume invalid: 13,531,159 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,2.66,5086901.763033286,13531158.68966854,True,True,False,-6.99,1.14,-25.91,-53.66,,0,0,,2026-04-21 14:24:18.562250,False,False,False,True,False
