ticker,review_bucket,review_rationale,active_theme_count,active_themes,active_categories,status,manual_suppressed,manual_suppression_reason,suppression_reason,last_failure_category,consecutive_failure_count,rolling_failure_count,last_failure_at,last_success_at,snapshot_present,snapshot_run_finished_at,snapshot_run_age_days,snapshot_market_ts,snapshot_scope_type,price,avg_volume,dollar_volume,valid_price,valid_avg_volume,valid_dollar_volume,passes_current_ranking_inputs_except_suppression,perf_1d,perf_1w,perf_1m,perf_3m,failure_count_30d,failure_categories_30d,last_failure_run_finished_at,durable_suppression_provenance_present
ABB,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,3,"AI - Robotics, Automation & Controls, EV - Charging","Artificial Intelligence, Autos & EV, Industrials - Machinery",refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:07.092340,2026-03-11 10:26:24.613592,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
ACIA,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,AI - Edge Computing,Artificial Intelligence,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:09.587956,2026-03-11 10:26:24.806401,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
AGN,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Pharma - Generic,Healthcare - Pharma,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:14.719664,2026-03-11 10:26:25.140181,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
ALS,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Testing & Inspection,Industrials - Services,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:19.091445,2026-03-11 10:26:25.382726,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
ALTM,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Lithium,Metals & Mining,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:19.610094,2026-03-11 10:26:25.419682,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
ANTM,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Insurance - Health,Financials - Insurance,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:24.547563,2026-03-11 10:26:25.731957,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
APTS,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Hotels & Lodging,Consumer - Leisure,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:26.712805,2026-03-11 10:26:25.870127,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
ARCH,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Coal,Metals & Mining,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:27.885318,2026-03-11 10:26:25.920100,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
ARNC,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Aluminum,Metals & Mining,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:29.275410,2026-03-11 10:26:26.007650,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
ASTR,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Space - Launch,Space & Aerospace,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:31.213635,2026-03-11 10:26:26.133157,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
AY,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Utilities - Renewable,Utilities,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:35.383098,2026-03-11 10:26:26.393100,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
AYR,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Aircraft Leasing,Space & Aerospace,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:35.482838,2026-03-11 10:26:26.405133,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
BANG,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Beverages - Energy,Consumer - Food & Beverage,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:37.824992,2026-03-11 10:26:26.558747,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
BBIG,keep suppressed,calculation outlier suppression; durable suppression provenance present,1,Meme Stocks,Specialty Themes,refresh_suppressed,False,,Extreme 1W move (+525.0%) on low dollar volume (15). Review suppression from calculations.,CALC_OUTLIER,0,0,,2026-03-13 08:37:14.022979,True,2026-03-13 08:42:50.338155,39,2026-03-11 17:00:00,active_themes,0.005,2925.904761904762,14.62952380952381,False,True,False,False,,525.0,56.25,66.67,0,,,True
BIG,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Retail - Discount,Consumer - Retail,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:43.796976,2026-03-11 10:26:26.894895,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
BLL,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Packaging - Plastic & Metal,Materials & Chemicals,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:46.912866,2026-03-11 10:26:27.091598,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
BMWYY,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Auto - Luxury,Autos & EV,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:48.021944,2026-03-11 10:26:27.165615,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
CCLP,keep suppressed,no current preferred snapshot; last failure category NO_CANDLES; durable suppression provenance present,1,Environmental Services,Industrials - Services,refresh_suppressed,False,,Suppression approved in Health review queue.,NO_CANDLES,3,4,2026-03-11 19:49:59.146424,2026-03-11 10:26:27.832587,False,,,,,,,,False,False,False,False,,,,,0,,2026-03-11 19:54:24.668853,True
